gpu_model,task,model_size,batch_size,image_size,time_type,value
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,2,640,batch_time,0.010240789502859116
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,2,1088,ave_time,0.01321812579408288
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,2,1088,batch_time,0.02643625158816576
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,4,320,ave_time,0.0018369598255958408
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,4,320,batch_time,0.007347839302383363
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,4,640,ave_time,0.004710668203188106
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,4,640,batch_time,0.018842672812752426
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,4,1088,ave_time,0.011975496727973222
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,4,1088,batch_time,0.04790198691189289
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,8,320,ave_time,0.0015702798875281588
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,8,320,batch_time,0.01256223910022527
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,8,640,ave_time,0.00465182725165505
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,8,640,batch_time,0.0372146180132404
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,8,1088,ave_time,0.011641656723804772
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,8,1088,batch_time,0.09313325379043817
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,12,320,ave_time,0.0015701605841362226
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,12,320,batch_time,0.018841927009634673
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,12,640,ave_time,0.004530068224994466
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,12,640,batch_time,0.05436081869993359
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,12,1088,ave_time,0.012111146949852507
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,12,1088,batch_time,0.14533376339823006
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,16,320,ave_time,0.0015190554506261833
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,16,320,batch_time,0.024304887210018934
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,16,640,ave_time,0.004581415206484962
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,16,640,batch_time,0.0733026433037594
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,16,1088,ave_time,0.012035858706803992
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,16,1088,batch_time,0.19257373930886387
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,20,320,ave_time,0.0015029689704533667
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,20,320,batch_time,0.030059379409067333
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,20,640,ave_time,0.004381941934116185
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,20,640,batch_time,0.0876388386823237
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,20,1088,ave_time,0.011714575180085377
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8m,20,1088,batch_time,0.23429150360170753
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,1,320,ave_time,0.0045674939872697
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,1,320,batch_time,0.0045674939872697
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,1,640,ave_time,0.008826251211576163
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,1,640,batch_time,0.008826251211576163
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,1,1088,ave_time,0.021957942401058972
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,1,1088,batch_time,0.021957942401058972
