batch_size,image_size,value,fps,t_network,t_queue,throughput/100,te2e
2,320,4.5025808969512,840,7.85,0.5952380952380953,2.2209484357674123,12.947818992189294
2,320,4.5025808969512,900,8.05,0.5555555555555556,2.2209484357674123,13.108136452506756
4,320,3.5945754731073,60,16.17,25.0,2.7819696859377903,44.7645754731073
4,320,3.5945754731073,120,14.36,12.5,2.7819696859377903,30.454575473107298
4,320,3.5945754731073,180,14.61,8.333333333333334,2.7819696859377903,26.537908806440633
4,320,3.5945754731073,240,12.23,6.25,2.7819696859377903,22.074575473107302
4,320,3.5945754731073,300,,5.0,2.7819696859377903,
4,320,3.5945754731073,360,8.89,4.166666666666667,2.7819696859377903,16.651242139773966
4,320,3.5945754731073,420,8.87,3.571428571428571,2.7819696859377903,16.036004044535872
4,320,3.5945754731073,480,7.46,3.125,2.7819696859377903,14.179575473107299
4,320,3.5945754731073,540,7.97,2.7777777777777777,2.7819696859377903,14.342353250885077
4,320,3.5945754731073,600,8.28,2.5,2.7819696859377903,14.3745754731073
4,320,3.5945754731073,660,8.25,2.2727272727272725,2.7819696859377903,14.117302745834571
4,320,3.5945754731073,720,8.01,2.0833333333333335,2.7819696859377903,13.687908806440634
4,320,3.5945754731073,780,7.77,1.9230769230769231,2.7819696859377903,13.287652396184223
4,320,3.5945754731073,840,7.85,1.7857142857142856,2.7819696859377903,13.230289758821584
4,320,3.5945754731073,900,8.05,1.6666666666666667,2.7819696859377903,13.311242139773967
8,320,3.3700812375172,60,16.17,58.333333333333336,2.967287520750444,77.87341457085054
8,320,3.3700812375172,120,14.36,29.166666666666668,2.967287520750444,46.89674790418387
8,320,3.3700812375172,180,14.61,19.444444444444446,2.967287520750444,37.42452568196165
8,320,3.3700812375172,240,12.23,14.583333333333334,2.967287520750444,30.183414570850534
8,320,3.3700812375172,300,,11.666666666666668,2.967287520750444,
8,320,3.3700812375172,360,8.89,9.722222222222223,2.967287520750444,21.982303459739423
8,320,3.3700812375172,420,8.87,8.333333333333334,2.967287520750444,20.57341457085053
8,320,3.3700812375172,480,7.46,7.291666666666667,2.967287520750444,18.121747904183866
8,320,3.3700812375172,540,7.97,6.481481481481481,2.967287520750444,17.82156271899868
8,320,3.3700812375172,600,8.28,5.833333333333334,2.967287520750444,17.483414570850535
8,320,3.3700812375172,660,8.25,5.303030303030304,2.967287520750444,16.923111540547502
8,320,3.3700812375172,720,8.01,4.861111111111112,2.967287520750444,16.24119234862831
8,320,3.3700812375172,780,7.77,4.487179487179487,2.967287520750444,15.627260724696686
8,320,3.3700812375172,840,7.85,4.166666666666667,2.967287520750444,15.386747904183867
8,320,3.3700812375172,900,8.05,3.888888888888889,2.967287520750444,15.30897012640609
12,320,3.5001779751231,60,16.17,91.66666666666666,2.856997578715495,111.33684464178975
12,320,3.5001779751231,120,14.36,45.83333333333333,2.856997578715495,63.69351130845643
12,320,3.5001779751231,180,14.61,30.555555555555554,2.856997578715495,48.66573353067865
12,320,3.5001779751231,240,12.23,22.916666666666664,2.856997578715495,38.64684464178977
12,320,3.5001779751231,300,,18.333333333333332,2.856997578715495,
12,320,3.5001779751231,360,8.89,15.277777777777777,2.856997578715495,27.667955752900877
12,320,3.5001779751231,420,8.87,13.095238095238095,2.856997578715495,25.465416070361194
12,320,3.5001779751231,480,7.46,11.458333333333332,2.856997578715495,22.41851130845643
12,320,3.5001779751231,540,7.97,10.185185185185187,2.856997578715495,21.655363160308287
12,320,3.5001779751231,600,8.28,9.166666666666666,2.856997578715495,20.946844641789767
12,320,3.5001779751231,660,8.25,8.333333333333334,2.856997578715495,20.083511308456433
12,320,3.5001779751231,720,8.01,7.638888888888888,2.856997578715495,19.14906686401199
12,320,3.5001779751231,780,7.77,7.051282051282051,2.856997578715495,18.32146002640515
12,320,3.5001779751231,840,7.85,6.5476190476190474,2.856997578715495,17.897797022742147
12,320,3.5001779751231,900,8.05,6.111111111111112,2.856997578715495,17.661289086234213
16,320,3.2884440370253003,60,16.17,125.0,3.040951856685972,144.4584440370253
16,320,3.2884440370253003,120,14.36,62.5,3.040951856685972,80.1484440370253
16,320,3.2884440370253003,180,14.61,41.666666666666664,3.040951856685972,59.565110703691964
16,320,3.2884440370253003,240,12.23,31.25,3.040951856685972,46.768444037025304
16,320,3.2884440370253003,300,,25.0,3.040951856685972,
16,320,3.2884440370253003,360,8.89,20.833333333333332,3.040951856685972,33.01177737035863
16,320,3.2884440370253003,420,8.87,17.857142857142858,3.040951856685972,30.01558689416816
16,320,3.2884440370253003,480,7.46,15.625,3.040951856685972,26.3734440370253
16,320,3.2884440370253003,540,7.97,13.888888888888888,3.040951856685972,25.147332925914185
16,320,3.2884440370253003,600,8.28,12.5,3.040951856685972,24.0684440370253
16,320,3.2884440370253003,660,8.25,11.363636363636363,3.040951856685972,22.902080400661664
16,320,3.2884440370253003,720,8.01,10.416666666666666,3.040951856685972,21.715110703691966
16,320,3.2884440370253003,780,7.77,9.615384615384617,3.040951856685972,20.673828652409917
16,320,3.2884440370253003,840,7.85,8.928571428571429,3.040951856685972,20.06701546559673
16,320,3.2884440370253003,900,8.05,8.333333333333334,3.040951856685972,19.671777370358633
20,320,3.2573215395677,60,16.17,158.33333333333331,3.070007022188901,177.760654872901
